,No._x,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price_x,Change_x,Volume_x,No._y,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price_y,Change_y,Volume_y
209,210,NVMI,Nova Measuring Instruments Ltd.,Technology,Semiconductor Equipment & Materials,Israel,2.72B,52.84,97.80,1.25%,33734,210,0.33%,-4.95%,3.63%,40.46%,91.76%,38.53%,3.07%,3.05%,1.50,110.33K,0.31,97.80,1.25%,33734
210,211,MOMO,Momo Inc.,Communication Services,Internet Content & Information,China,2.70B,8.91,12.39,-2.21%,1873722,211,-0.40%,-19.07%,-15.48%,-15.49%,-29.36%,-7.50%,5.56%,4.29%,2.10,2.91M,0.64,12.39,-2.21%,1873722
211,212,MTX,Minerals Technologies Inc.,Basic Materials,Chemicals,USA,2.67B,24.05,80.22,1.58%,134047,212,4.95%,1.97%,2.66%,30.16%,68.25%,29.14%,2.38%,2.58%,2.20,128.45K,1.04,80.22,1.58%,134047
212,213,MAXR,Maxar Technologies Inc.,Technology,Communication Equipment,USA,2.67B,-,36.27,3.54%,1445233,213,6.18%,-9.14%,-6.54%,-13.37%,102.63%,-6.01%,5.00%,5.51%,2.00,1.26M,1.15,36.27,3.54%,1445233
213,214,CVA,Covanta Holding Corporation,Industrials,Waste Management,USA,2.67B,456.82,20.10,0.75%,2126105,214,0.45%,14.14%,33.64%,42.05%,110.69%,53.08%,0.67%,1.47%,2.10,2.03M,1.05,20.10,0.75%,2126105
214,215,FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,USA,2.66B,17.24,74.75,-0.16%,160696,215,-0.84%,-5.13%,-9.24%,34.85%,52.77%,41.95%,3.12%,2.88%,2.50,180.95K,0.89,74.75,-0.16%,160696
215,216,NUS,"Nu Skin Enterprises, Inc.",Consumer Defensive,Household & Personal Products,USA,2.65B,12.80,53.69,-0.98%,245143,216,1.23%,-5.23%,1.57%,-7.22%,19.55%,-1.72%,2.02%,2.36%,2.50,531.22K,0.46,53.69,-0.98%,245143
216,217,SCL,Stepan Company,Basic Materials,Specialty Chemicals,USA,2.64B,19.63,117.95,-0.25%,321066,217,0.25%,-1.93%,-9.73%,4.68%,8.61%,-1.15%,1.81%,1.90%,2.30,67.38K,4.77,117.95,-0.25%,321066
217,218,PBH,Prestige Consumer Healthcare Inc.,Healthcare,Medical Distribution,USA,2.63B,16.12,52.55,0.04%,188873,218,-0.06%,0.86%,20.64%,31.38%,39.84%,50.70%,1.39%,1.81%,2.30,232.43K,0.81,52.55,0.04%,188873
218,219,THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,USA,2.63B,34.25,82.93,1.78%,322230,219,15.18%,16.72%,16.47%,35.37%,107.48%,27.15%,5.30%,3.58%,3.00,140.35K,2.30,82.93,1.78%,322230
219,220,MANU,Manchester United plc,Consumer Cyclical,Leisure,United Kingdom,2.60B,-,16.08,0.69%,161048,220,1.13%,5.86%,-9.31%,11.59%,11.13%,-3.94%,1.74%,2.18%,2.30,332.13K,0.48,16.08,0.69%,161048
220,221,SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,Hong Kong,2.58B,29.35,74.99,16.63%,2192857,221,20.97%,16.99%,4.41%,51.77%,84.39%,55.74%,5.08%,3.48%,2.30,329.53K,6.65,74.99,16.63%,2192857
221,222,PCRX,"Pacira BioSciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,2.57B,17.77,58.95,-1.88%,384296,222,0.43%,-2.85%,-6.70%,-10.79%,10.98%,-1.49%,3.19%,3.18%,2.10,424.96K,0.90,58.95,-1.88%,384296
222,223,B,Barnes Group Inc.,Industrials,Specialty Industrial Machinery,USA,2.55B,48.77,50.67,-0.98%,121032,223,2.24%,-1.13%,1.50%,5.41%,36.58%,-0.04%,2.73%,2.66%,2.20,155.07K,0.78,50.67,-0.98%,121032
223,224,PLXS,Plexus Corp.,Technology,Electronic Components,USA,2.55B,18.61,90.32,0.77%,101932,224,4.60%,-1.19%,-2.29%,17.42%,22.02%,15.48%,2.26%,2.46%,2.40,120.87K,0.84,90.32,0.77%,101932
224,225,HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,USA,2.54B,48.10,80.85,-0.54%,115186,225,2.32%,3.59%,11.86%,48.21%,111.54%,51.72%,2.98%,2.70%,2.60,95.15K,1.21,80.85,-0.54%,115186
225,226,RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.54B,15.13,46.99,-0.02%,157733,226,0.38%,8.67%,-4.80%,11.91%,45.45%,13.45%,3.76%,3.47%,2.00,219.56K,0.72,46.99,-0.02%,157733
226,227,AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,USA,2.50B,106.09,101.10,0.30%,129779,227,4.88%,0.95%,-8.40%,-11.91%,31.04%,16.34%,2.58%,3.05%,1.80,167.32K,0.78,101.10,0.30%,129779
227,228,GDOT,Green Dot Corporation,Financial,Credit Services,USA,2.49B,2094.09,46.07,-1.12%,234825,228,0.39%,-1.66%,0.68%,-8.28%,-9.90%,-17.44%,2.24%,2.25%,2.30,459.77K,0.51,46.07,-1.12%,234825
